cn	A1Z746
ATPsynE	O77134
HtrA2	Q9VFJ3
mRpL11	Q9VFJ2
UQCR-C1	Q9VFF0
mRpS10	Q9VFB2
mRpL9	Q9VF89
CG4520	Q9VF44
Hmt-1	Q9VF20
mRpS33	Q9VEV5
Sdhaf3	Q8SZ16
mRpS11	Q9VEN6
CG5265	Q9VEM4
mTerf5	Q9VEB4
Mpc1	A0A0B4KHD3
mRpL55	Q9VE04
Cyp12a5	Q9VE01
Cyp12a4	Q9VE00
CG11779	Q9VDZ8
ClpX	A0A0B4LID7
Idh3b	Q9VD58
mRpL35	Q8MS27
Cchl	Q9VD55
CG17141	Q9VCU5
bb8	Q9VCN3
PTPMT1	Q86BN8
SdhD	Q9VCI5
mRpS24	Q9VCC3
ND-49L	Q9VBR4
CG4743	Q9VBN7
CLS	Q8MZC4
Spag1	Q9VBA1
CG17991	Q9VB61
mRpS22	Q9VAY9
mfrn	Q9VAY3
UQCR-14L	Q9VAW7
CG14062	Q9VAU3
Sid	Q9VAU2
CG11837	Q9VAQ5
Pdhb	Q7K5K3
Atg14	Q9VAP6
Cyt-c1L	Q9VAM8
ND-20L	Q9VAK5
CG1907	Q9VAJ9
CIA30	Q9VAI1
CG7834	Q0KHZ6
CG11498	Q9VAA0
mRpS18C	Q9VA81
CG1544	Q9VA02
ATPsynC	Q6NN09
mRpL32	Q9V9Z1
Mccc1	Q9V9T5
ND-49	Q9V4E0
CG11077	Q9V492
Fis1	B7YZT2
CG17691	A8QHW8
Dhap-at	A0A0B4KHK0
mRpL14	Q9W4Z2
Buffy	Q8T8Y5
COX7A	Q9VHS2
CG15458	Q9VR93
CG12848	Q9W114
ND-B8	Q9VR00
COX7C	Q7JW00
mRpL33	Q9W4L1
Mccc2	Q9V9A7
Ak3	Q9VGU6
mRpL36	Q9I7Q9
mRpS14	Q9VWI3
Pmi	Q8IQ56
mRpS21	Q8I0J3
ND-13B	Q9VTB4
COX6AL	Q4QPY7
CG30100	A1ZAD7
UQCR-11L	Q4QPY6
Tango11	Q961C9
CG30412	A0A0B4LGF2
mRpL53	A1Z9J6
Cyp12d1-p	P82712
Coq9	Q8MKN0
CG31075	A0A0B4K6I6
mRpS18A	Q9VHQ0
ATPsynepsilonL	Q9VH24
Tengl3	Q9VQ95
Tengl1	Q8IPY9
SCaMC	Q9VTX3
Coq4	Q9VVG6
ND-MLRQ	Q8SYJ2
CG32281	Q8IRE4
Tengl2	Q8IPZ0
mRpL27	Q86BM8
P5CDh2	Q8IN18
CG33346	Q7KRX0
Cyp12d1-d	Q7KR10
ND-AGGG	Q7PL91
Rpp20	Q2MGL3
DPCoAC	A0A0B4LIE8
Porin2	Q9VKP2
Neb-cGP	Q9W2U8
CG34132	Q0E8V7
mRpL34	Q0E959
CG34172	Q6IHY5
CG34242	A1A6X2
ND-MWFE	A8DYC5
sra	Q9XZL8
Cyt-c-d	P04657
UQCR-C2	Q9VV75
ttm50	Q9W4V8
CG42302	A8JUP9
CG42381	B7YZN8
UQCR-11	L7EET3
CG42496	E1JGR4
mRpS23	Q8IP62
CG17140	Q9VKP4
CG17139	Q9VKP3
CG7950	Q9VAA6
GC1	Q9VGF7
Baldspot	Q9VV87
zuc	Q9VKD7
Opa1	Q95U20
Ccdc56	P0DKM0
mRpL37	Q9VGW9
mtTFB1	Q9VTM5
SdhA	Q94523
mtRNApol	Q9VPW4
kdn	Q9W401
Scox	Q9VMX4
Mdh2	Q9VEB1
mt:ND4	P18931
CG43327	A0A0B4K829
CG43328	B9ER12
mRpL45	Q9VCX3
spoon	Q9W4C4
CG44194	A0A0B4KFX0
FeCH	Q9V9S8
ND-30	Q9VZU4
Cep89	Q7JVA5
Ptp61F	Q9W0G1
PheRS-m	O16129
Ak2	Q9U915
l(2)10685	Q9VPX3
muc	Q9VM14
Cyt-c-p	P84029
Letm1	P91927
Psn	O02194
knon	A1ZAH1
mRpS34	Q9VV39
Etf-QO	Q7JWF1
mRpS5	Q8SYP9
bor	Q9VEX6
